Ward_Assigned,price_num,walkScore,postalCode,Property_Type,yearBuilt,bedrooms,bathrooms,parking,garage,lotDepth,lotFrontage
18,890000.0,32.0,K1G 0X1,Residential,1966.0,3.0,4.0,3.0,1.0,33.53,16.48
12,489000.0,54.0,K1L 5C7,Lots/Acreage,,,,,,30.48,16.46
17,2975000.0,76.0,K1S 1P3,Residential,1926.0,4.0,5.0,8.0,2.0,57.3,16.23
16,1350000.0,43.0,K2C 1S1,Residential,2014.0,5.0,6.0,6.0,2.0,30.48,16.15
12,599900.0,70.0,K1L 5M9,Residential,1930.0,3.0,1.0,3.0,1.0,30.48,16.15
23,449000.0,25.0,K2L 1T1,Residential,1970.0,2.0,2.0,4.0,0.0,31.39,16.15
16,749900.0,37.0,K2C 1W4,Residential,1948.0,3.0,1.0,4.0,1.0,54.74,16.02
8,994900.0,81.0,K2G 2H8,Residential,2014.0,4.0,3.0,6.0,2.0,27.41,16.01
16,1150000.0,54.0,K2C 1P1,Residential,1987.0,5.0,4.0,7.0,2.0,59.29,16.0
18,1598000.0,16.0,K1H 5W3,Residential,2012.0,4.0,5.0,6.0,2.0,45.72,15.84
6,197000.0,21.0,K2S 1P6,Lots/Acreage,,,,,,45.67,15.73
17,1699000.0,82.0,K1S 3M4,Residential,1933.0,5.0,4.0,3.0,1.0,26.01,15.65
7,666600.0,52.0,K2B 8K4,Residential,1982.0,5.0,3.0,1.0,1.0,29.55,15.61
16,475000.0,48.0,K2C 1P8,Residential,1972.0,4.0,3.0,5.0,1.0,30.48,15.54
16,499900.0,52.0,K1Z 8E8,Residential,1950.0,4.0,2.0,2.0,0.0,30.48,15.54
18,588000.0,40.0,K1G 0V3,Residential,1958.0,3.0,4.0,4.0,1.0,32.23,15.54
16,729900.0,17.0,K1V 6Y7,Residential,1973.0,4.0,3.0,2.0,1.0,30.48,15.47
13,1095000.0,69.0,K1M 2B4,Residential,1912.0,2.0,2.0,2.0,0.0,25.26,15.36
1,799900.0,28.0,K4A 3C4,Residential,1990.0,4.0,4.0,4.0,2.0,30.75,15.35
17,1395000.0,81.0,K1S 0X9,Residential,2006.0,2.0,3.0,3.0,2.0,22.28,15.34
21,1399900.0,3.0,K4M 1J8,Residential,2020.0,5.0,3.0,6.0,2.0,59.32,15.32
22,949900.0,2.0,K1V 2K1,Residential,2009.0,5.0,4.0,5.0,2.0,31.0,15.3
12,499900.0,76.0,K1L 5H4,Residential,1954.0,4.0,2.0,2.0,0.0,12.19,15.24
16,969000.0,47.0,K1Z 6G3,Residential,2020.0,5.0,5.0,3.0,2.0,15.24,15.24
12,399900.0,76.0,K1L 7M4,Residential,,3.0,3.0,3.0,1.0,20.12,15.24
13,565000.0,55.0,K1K 1V3,Lots/Acreage,,,,,,25.91,15.24
10,1100000.0,47.0,K1T 0C7,Residential,2011.0,4.0,5.0,4.0,2.0,26.8,15.24
7,599999.0,65.0,K2B 5C2,Residential,1962.0,4.0,2.0,3.0,0.0,27.43,15.24
8,1325000.0,40.0,K2G 2G1,Residential,2020.0,4.0,5.0,4.0,2.0,27.44,15.24
7,2179000.0,60.0,K2A 2R3,Residential,2020.0,4.0,4.0,4.0,2.0,27.89,15.24
7,800000.0,49.0,K2A 3B3,Residential,,4.0,3.0,3.0,1.0,28.8,15.24
15,1100000.0,88.0,K1Y 0P2,Residential,1940.0,4.0,3.0,6.0,1.0,29.26,15.24
15,1585000.0,85.0,K1Y 0N1,Residential,,5.0,4.0,3.0,0.0,29.26,15.24
13,699900.0,68.0,K1K 1K9,Residential,1950.0,5.0,2.0,4.0,1.0,29.72,15.24
16,495000.0,61.0,K1Z 7Y4,Multifamily,1940.0,,,5.0,,30.18,15.24
18,715500.0,81.0,K1V 6C7,Residential,,4.0,2.0,2.0,0.0,30.42,15.24
7,2145000.0,65.0,K2A 3B9,Residential,2018.0,6.0,5.0,4.0,2.0,30.48,15.24
7,1999950.0,38.0,K2A 0B9,Residential,1988.0,4.0,4.0,6.0,2.0,30.48,15.24
9,700000.0,32.0,K2G 4J9,Residential,1986.0,6.0,4.0,5.0,2.0,30.48,15.24
1,589000.0,56.0,K4A 1V6,Residential,1985.0,5.0,4.0,4.0,2.0,30.48,15.24
7,899900.0,59.0,K2B 6Y3,Multifamily,1978.0,,,4.0,,30.48,15.24
8,585000.0,32.0,K2H 7L5,Residential,1969.0,4.0,2.0,5.0,1.0,30.48,15.24
8,600000.0,34.0,K2H 6Z1,Residential,1963.0,4.0,2.0,3.0,0.0,30.48,15.24
18,524900.0,46.0,K1G 2W4,Residential,1961.0,3.0,2.0,3.0,0.0,30.48,15.24
8,849880.0,30.0,K2C 0T9,Multifamily,1959.0,,,3.0,0.0,30.48,15.24
8,849880.0,30.0,K2C 0T9,Multifamily,1959.0,,,3.0,0.0,30.48,15.24
7,1150000.0,51.0,K2A 2W3,Residential,1950.0,4.0,2.0,2.0,0.0,30.48,15.24
17,899900.0,65.0,K1V 8E1,Multifamily,1950.0,,,5.0,,30.48,15.24
16,875000.0,57.0,K1Z 7Z5,Multifamily,1945.0,,,4.0,0.0,30.48,15.24
15,1198000.0,70.0,K1Y 0V1,Residential,1940.0,5.0,3.0,7.0,2.0,30.48,15.24
15,1198000.0,70.0,K1Y 0V1,Residential,1940.0,5.0,3.0,7.0,2.0,30.48,15.24
13,1150000.0,81.0,K1M 1E3,Multifamily,1937.0,,,3.0,2.0,30.48,15.24
7,949000.0,66.0,K2B 7E4,Residential,,6.0,2.0,6.0,0.0,30.48,15.24
7,749000.0,65.0,K2A 3B9,Residential,,3.0,3.0,2.0,0.0,30.48,15.24
15,760000.0,61.0,K1Y 0J5,Residential,,2.0,2.0,3.0,0.0,30.48,15.24
16,529000.0,48.0,K1Z 6H9,Lots/Acreage,,,,,,30.48,15.24
16,529000.0,48.0,K1Z 6H9,Lots/Acreage,,,,,,30.48,15.24
22,1140000.0,23.0,K1T 0N4,Residential,2014.0,4.0,4.0,4.0,2.0,30.91,15.24
17,2200000.0,83.0,K1S 2G7,Residential,1915.0,5.0,4.0,4.0,1.0,31.39,15.24
15,879900.0,67.0,K2A 2K5,Residential,1947.0,4.0,3.0,5.0,1.0,31.5,15.24
13,700000.0,58.0,K1K 1S2,Lots/Acreage,,,,,,31.7,15.24
15,2495000.0,71.0,K2A 0E5,Residential,2015.0,4.0,4.0,4.0,2.0,32.0,15.24
6,939000.0,19.0,K2S 0W3,Residential,2015.0,4.0,3.0,4.0,2.0,32.0,15.24
6,700000.0,40.0,K2S 0B9,Residential,2007.0,4.0,3.0,4.0,2.0,32.0,15.24
6,819900.0,9.0,K2S 2G9,Residential,2006.0,6.0,4.0,6.0,2.0,32.0,15.24
17,2600000.0,78.0,K1S 1Z1,Residential,1913.0,5.0,3.0,4.0,1.0,32.0,15.24
2,340000.0,25.0,K1C 3B1,Lots/Acreage,,,,,,32.0,15.24
18,577000.0,53.0,K1G 0R2,Residential,1958.0,3.0,2.0,3.0,0.0,32.06,15.24
12,550000.0,67.0,K1K 3L8,Residential,1960.0,3.0,2.0,12.0,1.0,32.87,15.24
23,679000.0,44.0,K2M 1R3,Residential,1989.0,6.0,4.0,6.0,2.0,33.53,15.24
15,1349000.0,67.0,K1Z 5J6,Multifamily,1960.0,,,3.0,0.0,33.53,15.24
15,1349000.0,67.0,K1Z 5J6,Multifamily,1960.0,,,3.0,0.0,33.53,15.24
17,1588000.0,57.0,K1S 2B8,Residential,,4.0,4.0,2.0,1.0,33.53,15.24
15,1479000.0,82.0,K1Y 1Z4,Multifamily,1940.0,,,8.0,4.0,34.75,15.24
7,750000.0,49.0,K2B 6B3,Multifamily,1965.0,,,6.0,,34.95,15.24
7,750000.0,49.0,K2B 6B3,Multifamily,1965.0,,,6.0,,34.95,15.24
7,2295000.0,58.0,K2A 3E2,Residential,2019.0,6.0,5.0,4.0,2.0,35.05,15.24
4,1090000.0,22.0,K2T 1J4,Residential,2002.0,4.0,4.0,6.0,2.0,36.58,15.24
16,1299000.0,24.0,K2C 4G9,Residential,2006.0,7.0,4.0,6.0,2.0,37.4,15.24
1,799900.0,16.0,K4A 4T4,Residential,2004.0,6.0,4.0,6.0,2.0,40.02,15.24
7,695000.0,49.0,K2B 6B5,Lots/Acreage,,,,,,40.44,15.24
7,695000.0,49.0,K2B 6B5,Lots/Acreage,,,,,,40.44,15.24
16,330000.0,52.0,K1V 8E7,Lots/Acreage,,,,,,41.15,15.24
5,225000.0,3.0,K0A 3M0,Residential,1960.0,3.0,1.0,5.0,1.0,76.1,15.22
1,690000.0,47.0,K4A 1S6,Residential,1987.0,4.0,3.0,6.0,2.0,30.5,15.2
1,524900.0,38.0,K4A 2S9,Residential,1989.0,3.0,3.0,6.0,2.0,33.5,15.2
4,899000.0,33.0,K2T 1H2,Residential,2001.0,4.0,3.0,6.0,2.0,31.97,15.17
1,713963.0,1.0,K4A 1K1,Residential,2020.0,2.0,2.0,4.0,2.0,31.44,15.07
15,2239000.0,74.0,K1Z 8N2,Residential,2020.0,4.0,4.0,4.0,2.0,22.39,15.0
10,320000.0,9.0,K1T 3W9,Lots/Acreage,,,,,,34.44,15.0
4,1250000.0,20.0,K2K 2N6,Residential,1993.0,4.0,4.0,6.0,2.0,41.79,15.0
17,1775000.0,47.0,K1S 5P7,Residential,2017.0,3.0,4.0,2.0,2.0,16.81,14.89
10,1099000.0,24.0,K1T 1J1,Residential,2020.0,4.0,3.0,4.0,2.0,30.52,14.77
16,749900.0,40.0,K1Z 8L2,Multifamily,1955.0,,,6.0,1.0,29.26,14.71
18,699900.0,72.0,K1H 7P9,Residential,1968.0,4.0,2.0,4.0,1.0,24.67,14.63
15,569900.0,64.0,K1Y 4B9,Lots/Acreage,,,,,,26.82,14.63
10,599000.0,23.0,K1T 2G8,Residential,1983.0,4.0,3.0,6.0,2.0,30.48,14.5
13,899000.0,82.0,K1K 1L3,Multifamily,1960.0,,,4.0,,28.71,14.48
24,664888.0,43.0,K2J 4Y8,Residential,2002.0,3.0,3.0,4.0,2.0,31.0,14.21
6,769900.0,6.0,K2V 0C4,Residential,2017.0,4.0,3.0,6.0,2.0,45.91,14.19
13,1250000.0,69.0,K1M 0R2,Residential,1940.0,4.0,4.0,4.0,0.0,29.69,14.1
1,950000.0,28.0,K4A 3E3,Residential,1989.0,4.0,4.0,6.0,2.0,53.49,14.05
17,949900.0,62.0,K1S 0Y2,Lots/Acreage,,,,,,20.12,14.02
12,449000.0,77.0,K1L 6K6,Lots/Acreage,,,,,,24.99,14.02
12,449000.0,77.0,K1L 6K6,Lots/Acreage,,,,,,24.99,14.02
24,619900.0,31.0,K2G 7A3,Residential,2004.0,4.0,4.0,4.0,1.0,26.5,13.94
22,824900.0,5.0,K1T 0L5,Residential,2015.0,5.0,5.0,4.0,2.0,30.28,13.85
22,775000.0,5.0,K1T 3T8,Residential,2012.0,4.0,4.0,4.0,2.0,32.0,13.82
2,589900.0,43.0,K1C 7C3,Residential,1990.0,3.0,4.0,6.0,2.0,25.89,13.78
6,949000.0,25.0,K2S 0W4,Residential,2017.0,5.0,5.0,4.0,2.0,30.0,13.75
22,950000.0,26.0,K1T 0N7,Residential,2018.0,4.0,4.0,6.0,2.0,31.0,13.75
4,719900.0,14.0,K2K 2L8,Residential,1989.0,3.0,3.0,2.0,1.0,42.03,13.75
13,1150000.0,73.0,K1M 0Y8,Residential,2003.0,3.0,3.0,3.0,1.0,24.14,13.72
12,499900.0,71.0,K1L 7B3,Residential,,3.0,2.0,3.0,0.0,26.73,13.72
16,499900.0,60.0,K1V 6V4,Residential,1950.0,3.0,2.0,3.0,0.0,27.43,13.72
22,789900.0,18.0,K1T 0G4,Residential,2010.0,4.0,3.0,4.0,2.0,33.13,13.72
7,669000.0,10.0,K2H 5N7,Residential,1960.0,4.0,2.0,3.0,1.0,46.02,13.72
10,320000.0,8.0,K1T 3W9,Lots/Acreage,,,,,,46.94,13.72
8,399900.0,77.0,K2G 1Y9,Lots/Acreage,,,,,,27.43,13.7
24,699900.0,32.0,K2G 6E9,Residential,1999.0,4.0,4.0,4.0,2.0,34.0,13.7
13,799900.0,34.0,K1K 4T9,Residential,2003.0,2.0,2.0,4.0,2.0,31.09,13.6
1,539900.0,68.0,K4A 2Z2,Residential,1992.0,3.0,4.0,5.0,1.0,32.16,13.55
24,699900.0,53.0,K2J 4T3,Residential,2000.0,4.0,3.0,4.0,2.0,26.5,13.45
22,579900.0,15.0,K1V 1N9,Residential,2000.0,3.0,3.0,5.0,1.0,33.0,13.45
8,999000.0,55.0,K2G 6J9,Residential,1997.0,6.0,5.0,4.0,2.0,22.5,13.3
13,1299000.0,71.0,K1M 2A4,Residential,1955.0,4.0,3.0,3.0,0.0,36.94,13.17
19,879900.0,7.0,K4A 1G3,Residential,2018.0,4.0,5.0,6.0,1.0,32.61,13.11
3,779900.0,2.0,K2J 6K4,Residential,2018.0,4.0,3.0,4.0,2.0,25.0,13.1
10,699900.0,35.0,K1G 5E4,Residential,1988.0,6.0,4.0,6.0,2.0,30.5,13.1
4,1385000.0,10.0,K2T 0E1,Residential,2013.0,6.0,5.0,6.0,2.0,33.09,13.0
2,649888.0,19.0,K1C 6A6,Residential,1986.0,4.0,4.0,6.0,2.0,34.49,13.0
2,899900.0,43.0,K1C 6K9,Residential,1991.0,5.0,4.0,8.0,2.0,44.53,13.0
18,595000.0,38.0,K1H 6J3,Lots/Acreage,,,,,,36.15,12.98
12,479000.0,77.0,K1L 6H1,Residential,1955.0,5.0,3.0,3.0,0.0,27.16,12.95
12,479000.0,77.0,K1L 6H1,Residential,1955.0,5.0,3.0,3.0,0.0,27.16,12.95
15,849000.0,69.0,K2A 2B7,Multifamily,1958.0,,,5.0,,36.27,12.95
19,699900.0,13.0,K4A 0E7,Residential,2009.0,4.0,3.0,5.0,2.0,32.01,12.82
4,935999.0,1.0,K2T 0M1,Residential,2018.0,4.0,3.0,4.0,2.0,31.7,12.8
4,935999.0,1.0,K2T 0M1,Residential,2018.0,4.0,3.0,4.0,2.0,31.7,12.8
6,774900.0,7.0,K2V 0N2,Residential,2019.0,3.0,3.0,4.0,2.0,31.97,12.8
3,699888.0,30.0,K2J 2X5,Residential,1989.0,4.0,3.0,6.0,2.0,43.76,12.55
16,794900.0,45.0,K2C 0H4,Residential,1963.0,4.0,3.0,6.0,0.0,35.18,12.54
7,975000.0,67.0,K2B 5G6,Residential,2016.0,3.0,4.0,2.0,1.0,30.48,12.5
24,649900.0,46.0,K2G 6K9,Residential,1998.0,4.0,3.0,4.0,2.0,22.5,12.42
16,799000.0,69.0,K1Z 6N1,Residential,1925.0,4.0,2.0,3.0,0.0,30.49,12.35
2,650000.0,43.0,K1C 6M2,Residential,1987.0,4.0,3.0,4.0,2.0,34.83,12.32
3,415000.0,30.0,K2J 2B2,Residential,1980.0,3.0,2.0,3.0,1.0,27.31,12.26
19,649900.0,1.0,K1W 0A4,Residential,2008.0,4.0,4.0,6.0,2.0,30.0,12.2
15,699900.0,67.0,K1Z 7J4,Residential,1987.0,3.0,3.0,3.0,1.0,15.24,12.19
17,1999000.0,73.0,K1S 1N5,Residential,1955.0,3.0,3.0,5.0,1.0,20.12,12.19
17,825000.0,81.0,K1S 0W8,Residential,1925.0,3.0,1.0,2.0,0.0,26.67,12.19
15,1025000.0,70.0,K1Y 1C8,Residential,1936.0,4.0,2.0,3.0,1.0,26.82,12.19
17,849900.0,54.0,K1S 2R3,Residential,1935.0,3.0,2.0,3.0,1.0,27.43,12.19
17,779000.0,65.0,K1S 0J6,Residential,1930.0,3.0,1.0,2.0,1.0,27.43,12.19
17,1050000.0,65.0,K1S 2V5,Residential,1924.0,3.0,3.0,1.0,0.0,28.96,12.19
12,375000.0,67.0,K1L 5H2,Multifamily,1956.0,,,6.0,1.0,30.48,12.19
12,375000.0,67.0,K1L 5H2,Multifamily,1956.0,,,6.0,1.0,30.48,12.19
12,425000.0,70.0,K1L 5J8,Residential,,3.0,2.0,4.0,0.0,30.48,12.19
17,1380000.0,57.0,K1S 2N6,Residential,1936.0,5.0,3.0,6.0,2.0,31.39,12.19
17,1380000.0,57.0,K1S 2N6,Residential,1936.0,5.0,3.0,6.0,2.0,31.39,12.19
2,474900.0,42.0,K1C 1W4,Residential,1976.0,3.0,2.0,3.0,1.0,35.05,12.19
2,889900.0,36.0,K1C 1M4,Residential,2019.0,5.0,4.0,4.0,2.0,83.29,12.19
14,1695000.0,97.0,K2P 0G8,Residential,1900.0,4.0,3.0,3.0,0.0,22.78,12.18
12,1125000.0,75.0,K1N 5E6,Residential,1965.0,8.0,3.0,4.0,4.0,30.18,12.12
12,1125000.0,75.0,K1N 5E6,Residential,1965.0,8.0,3.0,4.0,4.0,30.18,12.12
4,429000.0,48.0,K2K 2V2,Residential,1994.0,3.0,2.0,3.0,1.0,39.88,12.02
12,1750000.0,87.0,K1N 5G1,Multifamily,1900.0,,,0.0,,20.3,11.66
16,599900.0,35.0,K1V 1K9,Residential,1997.0,2.0,2.0,6.0,2.0,41.32,11.65
19,819900.0,6.0,K1W 1H9,Residential,1998.0,4.0,4.0,6.0,2.0,35.54,11.61
19,649000.0,30.0,K4A 4Z4,Residential,2004.0,3.0,4.0,3.0,1.0,26.5,11.6
19,969000.0,35.0,K4A 0G9,Residential,2011.0,6.0,4.0,6.0,2.0,48.16,11.59
24,779900.0,57.0,K2J 5H8,Residential,2004.0,6.0,4.0,4.0,2.0,31.39,11.57
15,899000.0,62.0,K1Y 4E2,Residential,1943.0,3.0,2.0,4.0,3.0,30.18,11.43
7,519900.0,11.0,K2A 0E8,Residential,1962.0,5.0,3.0,3.0,0.0,30.19,11.43
13,830000.0,82.0,K1M 1C6,Residential,1947.0,4.0,2.0,2.0,0.0,17.79,11.34
8,500000.0,62.0,K2G 3B7,Residential,,3.0,2.0,6.0,1.0,34.32,11.3
2,689000.0,54.0,K1C 1H3,Residential,2020.0,4.0,3.0,6.0,2.0,96.48,11.29
2,689000.0,54.0,K1C 1H3,Residential,2020.0,4.0,3.0,6.0,2.0,96.48,11.29
3,749900.0,23.0,K2J 0C1,Residential,2008.0,4.0,4.0,6.0,2.0,32.0,11.28
8,385000.0,38.0,K2C 2C3,Residential,1964.0,3.0,2.0,2.0,0.0,25.91,11.2
23,549000.0,48.0,K2M 1T1,Residential,1987.0,3.0,2.0,2.0,1.0,45.35,11.15
12,1250000.0,77.0,K1N 5B5,Residential,,3.0,2.0,4.0,0.0,30.18,11.09
23,575000.0,24.0,K2M 2V2,Residential,2004.0,3.0,3.0,4.0,2.0,35.1,11.05
4,824900.0,4.0,K2S 1B9,Residential,2016.0,5.0,4.0,4.0,2.0,31.86,11.02
3,664900.0,1.0,K2J 6E8,Residential,2017.0,4.0,3.0,6.0,2.0,28.0,11.0
17,1839000.0,88.0,K1S 2R9,Residential,1920.0,5.0,4.0,4.0,1.0,26.82,10.97
6,739000.0,14.0,K2S 0W8,Residential,2016.0,4.0,5.0,4.0,2.0,27.01,10.97
17,1350000.0,85.0,K1S 1X9,Residential,1914.0,5.0,5.0,3.0,0.0,29.87,10.97
13,899000.0,67.0,K1M 1W1,Residential,,4.0,2.0,3.0,0.0,41.76,10.97
13,899000.0,67.0,K1M 1W1,Residential,,4.0,2.0,3.0,0.0,41.76,10.97
10,889900.0,36.0,K1T 1L8,Residential,1999.0,4.0,4.0,6.0,2.0,38.28,10.83
22,795000.0,10.0,K1X 0G1,Residential,2020.0,3.0,3.0,4.0,2.0,32.0,10.81
19,599900.0,22.0,K4A 0C9,Residential,2008.0,3.0,3.0,6.0,2.0,32.0,10.8
24,599900.0,,K2J 5B8,Residential,2003.0,3.0,3.0,4.0,2.0,30.0,10.77
1,499900.0,47.0,K4A 3H4,Residential,1990.0,3.0,4.0,6.0,2.0,32.89,10.76
22,599000.0,4.0,K4M 1H1,Residential,2001.0,3.0,3.0,4.0,2.0,32.0,10.75
22,799000.0,4.0,K1V 2J8,Residential,2010.0,4.0,4.0,2.0,2.0,33.0,10.75
17,799900.0,73.0,K1S 1K6,Residential,1942.0,3.0,2.0,1.0,0.0,17.68,10.73
3,449900.0,61.0,K2J 2W3,Residential,1987.0,3.0,2.0,3.0,1.0,31.79,10.7
10,649000.0,22.0,K1T 4B1,Residential,2002.0,4.0,3.0,4.0,2.0,31.96,10.69
7,799000.0,49.0,K2B 6B1,Residential,2019.0,4.0,4.0,3.0,1.0,20.88,10.67
15,850000.0,60.0,K1Z 7G8,Residential,1940.0,3.0,2.0,2.0,0.0,24.94,10.67
24,599900.0,61.0,K2J 5J1,Residential,2006.0,4.0,3.0,6.0,2.0,29.92,10.67
16,699000.0,39.0,K2C 4E7,Residential,2005.0,4.0,3.0,4.0,2.0,30.33,10.67
15,1638000.0,79.0,K1Y 0J8,Residential,2020.0,4.0,4.0,2.0,1.0,30.48,10.67
1,599000.0,49.0,K1E 3H3,Residential,1984.0,5.0,4.0,6.0,2.0,30.48,10.67
23,489900.0,52.0,K2L 2V7,Residential,1983.0,3.0,3.0,3.0,1.0,30.48,10.67
9,460000.0,45.0,K2E 6K8,Residential,1963.0,5.0,2.0,3.0,0.0,30.48,10.67
9,510000.0,58.0,K2E 6K5,Residential,1960.0,4.0,2.0,5.0,1.0,30.48,10.67
5,135000.0,5.0,K0A 3M0,Residential,1993.0,1.0,1.0,2.0,0.0,38.1,10.67
6,899900.0,9.0,K2V 0N4,Residential,2019.0,4.0,4.0,4.0,2.0,43.92,10.67
18,699900.0,21.0,K1G 2Z5,Residential,1960.0,3.0,2.0,6.0,1.0,34.23,10.64
24,729900.0,38.0,K2J 5C4,Residential,2003.0,5.0,4.0,4.0,2.0,30.04,10.52
3,499900.0,,K2J 0C4,Residential,2006.0,4.0,3.0,3.0,1.0,31.7,10.52
15,770000.0,83.0,K1Y 2R2,Lots/Acreage,,,,,,30.18,10.5
15,1199800.0,74.0,K2A 1V3,Residential,1935.0,5.0,3.0,2.0,0.0,30.48,10.47
3,599900.0,1.0,K2J 0S5,Residential,2009.0,4.0,3.0,6.0,1.0,25.12,10.36
3,599092.0,3.0,K2J 5Z4,Residential,2014.0,3.0,3.0,3.0,1.0,27.0,10.36
12,499000.0,77.0,K1L 7S4,Multifamily,1930.0,,,2.0,,30.18,10.36
3,499900.0,65.0,K2J 1V9,Residential,1979.0,3.0,2.0,2.0,1.0,30.48,10.36
13,695000.0,77.0,K1K 3B4,Residential,1956.0,3.0,2.0,5.0,0.0,37.79,10.36
6,699000.0,5.0,K2S 2B7,Residential,2005.0,4.0,3.0,4.0,2.0,35.0,10.33
2,399900.0,15.0,K1C 2S5,Residential,1981.0,3.0,2.0,3.0,1.0,30.48,10.31
10,1325000.0,34.0,K1T 4B6,Residential,2002.0,5.0,5.0,8.0,2.0,28.01,10.27
2,389900.0,48.0,K1C 2J1,Residential,1979.0,3.0,3.0,3.0,1.0,30.48,10.25
15,749900.0,65.0,K1Z 7H1,Residential,1987.0,3.0,3.0,3.0,1.0,32.82,10.21
12,5000.0,70.0,K1N 5A9,Residential,2018.0,2.0,2.0,1.0,0.0,30.23,10.14
12,6000.0,70.0,K1N 5A9,Residential,2018.0,3.0,2.0,1.0,0.0,30.23,10.14
12,6000.0,70.0,K1N 5A9,Residential,2018.0,3.0,2.0,1.0,0.0,30.23,10.14
12,5000.0,70.0,K1N 5A9,Residential,2018.0,2.0,2.0,1.0,0.0,30.23,10.14
17,399900.0,71.0,K1V 8C5,Residential,1972.0,4.0,2.0,3.0,1.0,30.48,10.1
12,949000.0,96.0,K1N 5M8,Multifamily,,,,7.0,,31.99,10.09
12,699000.0,95.0,K1N 5M8,Multifamily,,,,5.0,,32.26,10.09
17,1195000.0,67.0,K1S 0V2,Residential,1945.0,4.0,4.0,2.0,0.0,24.69,10.06
14,869900.0,85.0,K1R 6E6,Multifamily,1920.0,,,2.0,,25.63,10.06
17,2795000.0,87.0,K1S 3S9,Residential,2020.0,4.0,4.0,3.0,2.0,25.91,10.06
5,499900.0,19.0,K0A 1L0,Residential,2017.0,3.0,3.0,2.0,1.0,27.36,10.06
12,479900.0,71.0,K1L 5M1,Residential,,2.0,2.0,3.0,0.0,28.96,10.06
15,595000.0,80.0,K1Y 1L9,Lots/Acreage,,,,,,29.26,10.06
14,1299900.0,90.0,K1R 7B8,Residential,2005.0,5.0,3.0,3.0,0.0,30.17,10.06
14,1299900.0,90.0,K1R 7B8,Multifamily,2005.0,,,3.0,1.0,30.17,10.06
15,898900.0,76.0,K1Y 2S5,Multifamily,1940.0,,,3.0,0.0,30.18,10.06
12,599000.0,83.0,K1L 7Z5,Residential,1920.0,2.0,2.0,3.0,0.0,30.18,10.06
17,749900.0,64.0,K1S 1J4,Residential,1910.0,6.0,3.0,2.0,0.0,30.18,10.06
12,1574700.0,74.0,K1N 7Z9,Multifamily,1960.0,,,1.0,,30.48,10.06
17,1399000.0,88.0,K1S 2K1,Residential,1902.0,4.0,3.0,3.0,0.0,31.39,10.06
15,865000.0,72.0,K2A 2A9,Residential,1947.0,3.0,2.0,1.0,0.0,32.44,10.05
13,749900.0,50.0,K1K 4C4,Residential,1984.0,4.0,4.0,5.0,1.0,35.2,9.93
3,529900.0,20.0,K2J 5P8,Residential,2015.0,3.0,3.0,2.0,1.0,35.32,9.93
2,549900.0,23.0,K1C 6J5,Residential,1987.0,4.0,3.0,6.0,2.0,30.5,9.9
2,549900.0,23.0,K1C 6J5,Residential,1987.0,3.0,3.0,5.0,1.0,30.5,9.9
12,799900.0,81.0,K1N 8M2,Residential,1927.0,3.0,2.0,3.0,0.0,16.38,9.88
23,499999.0,9.0,K2R 1G9,Residential,2017.0,3.0,3.0,2.0,1.0,25.0,9.75
12,774900.0,76.0,K1L 5X7,Multifamily,1940.0,,,7.0,,28.96,9.75
12,889900.0,68.0,K1N 8A1,Multifamily,1935.0,,,3.0,1.0,30.48,9.75
12,889900.0,68.0,K1N 8A1,Multifamily,1935.0,,,3.0,1.0,30.48,9.75
16,599900.0,77.0,K1Z 7P4,Residential,,3.0,3.0,2.0,2.0,32.55,9.68
17,599900.0,79.0,K1H 8C1,Residential,1960.0,5.0,2.0,3.0,0.0,28.96,9.6
8,799900.0,32.0,K2G 5P1,Residential,1992.0,4.0,4.0,6.0,2.0,35.05,9.39
16,649900.0,55.0,K1Z 6K2,Residential,2013.0,3.0,4.0,2.0,1.0,15.24,9.36
17,1199900.0,87.0,K1S 3S1,Residential,1892.0,5.0,3.0,3.0,0.0,26.82,9.25
3,449000.0,32.0,K2J 2A3,Residential,1979.0,4.0,3.0,4.0,1.0,30.48,9.25
3,449900.0,24.0,K2J 3N6,Residential,1988.0,3.0,2.0,3.0,1.0,31.89,9.22
3,489900.0,29.0,K2J 3Z3,Residential,1989.0,3.0,3.0,3.0,1.0,39.64,9.2
15,1329000.0,74.0,K1Z 8N2,Residential,2020.0,3.0,4.0,2.0,1.0,22.61,9.15
3,619900.0,4.0,K2J 5W8,Residential,2012.0,3.0,4.0,3.0,1.0,25.0,9.15
6,799000.0,2.0,K2S 1E7,Residential,2020.0,4.0,4.0,4.0,2.0,30.5,9.15
14,2800000.0,90.0,K1R 5J9,Multifamily,2018.0,,,1.0,,22.94,9.14
13,1295000.0,69.0,K1M 2B6,Residential,,4.0,4.0,2.0,0.0,23.62,9.14
23,589900.0,9.0,K2M 0J6,Residential,2016.0,3.0,3.0,4.0,2.0,25.0,9.14
3,469900.0,52.0,K2J 1V5,Residential,,3.0,2.0,2.0,1.0,26.74,9.14
6,649900.0,13.0,K2S 0W8,Residential,2016.0,4.0,3.0,3.0,1.0,26.84,9.14
18,450000.0,64.0,K1G 1A7,Residential,1963.0,4.0,3.0,3.0,0.0,44.01,9.14
7,949000.0,75.0,K2A 3G3,Residential,2019.0,4.0,4.0,3.0,1.0,46.02,9.14
